Id,OwnerId,IsDeleted,Name,RecordTypeId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Apex__c,Close_Date__c,Csharp__c,Days_Open__c,Educational_Requirements__c,Functional_Area__c,Hire_By__c,Hiring_Manager__c,JavaScript__c,Java__c,Job_Description__c,Job_Level__c,Location__c,Max_Pay__c,Min_Pay__c,Open_Date__c,Responsibilities__c,Skills_Required__c,Status__c,Travel_Required__c,Type__c,Internal_Only__c
a036g000000o9JjAAI,0056g000000FFmxAAG,,Business Analyst,0126g0000000QGeAAM,2019-11-08T16:09:27.000+0000,0056g000000FFmxAAG,2019-11-08T17:59:46.000+0000,0056g000000FFmxAAG,2019-11-08T17:59:46.000+0000,,2019-11-09T21:21:57.000+0000,2019-11-09T21:21:57.000+0000,,,,,,Information Technology,2020-02-06,,,,,,"San Francisco, CA",125000,100000,,,,Pending Approval,,Full Time,
a036g000000oADVAA2,0056g000000FFmxAAG,,Business Analyst,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-01,,114,,Information Technology,2020-02-06,,,,,,"San Francisco, CA",125000,100000,2019-11-08,,,Pending Approval,,Full Time,
a036g000000oADWAA2,0056g000000FFmxAAG,,Accountant,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-09T21:11:13.000+0000,0056g000000FFmxAAG,2019-11-09T21:11:13.000+0000,,2019-11-09T21:11:29.000+0000,2019-11-09T21:11:29.000+0000,,2020-03-02,,114,,Finance,2020-02-07,,,,,,Denver,200000,150000,2019-11-09,,,Pending Approval,,Full Time,1
a036g000000oADXAA2,0056g000000FFmxAAG,,HR Specialist,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-03,,114,,Human Resources,2020-02-08,,,,,,DC,,,2019-11-10,,,New Position,,Full Time,
a036g000000oADYAA2,0056g000000FFmxAAG,,Cashier,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-04,,114,,Retail Operations,2020-02-09,,,,,,Maryland,,,2019-11-11,,,New Position,,Full Time,1
a036g000000oADZAA2,0056g000000FFmxAAG,,Stocker,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-05,,114,,Warehousing,2020-02-10,,,,,,Remote,,,2019-11-12,,,New Position,,Full Time,
a036g000000oADaAAM,0056g000000FFmxAAG,,Software Engineer,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-06,,114,,Information Technology,2020-02-11,,,,,,Indianapolis,,,2019-11-13,,,New Position,,Full Time,1
a036g000000oADbAAM,0056g000000FFmxAAG,,"Manager, Accounting",0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-09T21:23:33.000+0000,0056g000000FFmxAAG,2019-11-09T21:23:33.000+0000,,2019-11-11T14:55:28.000+0000,2019-11-11T14:55:28.000+0000,,2020-03-07,,114,,Finance,2020-02-12,,,,,,Bellevue,525000,500000,2019-11-14,,,Pending Approval,,Full Time,
a036g000000oADcAAM,0056g000000FFmxAAG,,"Manager, Recruiting",0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-08,,114,,Human Resources,2020-02-13,,,,,,Dallas,,,2019-11-15,,,New Position,,Full Time,1
a036g000000oADdAAM,0056g000000FFmxAAG,,Store Manager,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-09,,122,,Retail Operations,2020-02-14,,,,,,Herndon,,,2019-11-08,,,New Position,,Full Time,
a036g000000oADeAAM,0056g000000FFmxAAG,,Inventory Specialist,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-10,,122,,Warehousing,2020-02-15,,,,,,Reston,,,2019-11-09,,,New Position,,Full Time,1
a036g000000oADfAAM,0056g000000FFmxAAG,,Business Analyst,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-11,,122,,Information Technology,2020-02-16,,,,,,"San Francisco, CA",,,2019-11-10,,,New Position,,Full Time,
a036g000000oADgAAM,0056g000000FFmxAAG,,Accountant,0126g0000000QGeAAM,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,0056g000000FFmxAAG,2019-11-08T21:45:56.000+0000,,,,,2020-03-12,,122,,Finance,2020-02-17,,,,,,Denver,,,2019-11-11,,,New Position,,Full Time,1
